mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
51	43	171/2	171/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	621							
51	43	86	86	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	622							
52	44	693/8	693/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	623							
52	44	347/4	347/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	624							
52	44	695/8	695/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	625							
52	44	697/8	697/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	626							
52	44	349/4	349/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	627							
52	44	699/8	699/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	628							
52	44	701/8	701/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	629							
52	44	351/4	351/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	630							
52	44	703/8	703/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	631							
52	44	88	88	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	632							
52	44	705/8	705/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	633							
52	44	353/4	353/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	634							
52	44	707/8	707/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	635							
52	44	173/2	173/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	636							
52	44	87	87	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	637							
52	44	175/2	175/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	638							
53	45	177/2	177/2	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	639							
53	45	355/4	355/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	640							
53	45	711/8	711/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	641							
53	45	89	89	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	642							
53	45	713/8	713/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	643							
53	45	357/4	357/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	644							
53	45	715/8	715/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	645							
53	45	179/2	179/2	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	646							
53	45	717/8	717/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	647							
53	45	359/4	359/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	648							
53	45	719/8	719/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	649							
53	45	90	90	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	650							
53	45	721/8	721/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	651							
53	45	361/4	361/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	652							
53	45	723/8	723/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	653							
53	45	177/2	177/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	654							
53	45	179/2	179/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	655							
54	46	181/2	181/2	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	656							27
54	46	725/8	725/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	657							
54	46	363/4	363/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	658							28
54	46	727/8	727/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	659							
54	46	91	91	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	660							29
54	46	729/8	729/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	661							
54	46	365/4	365/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	662							30
54	46	731/8	731/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	663							
54	46	183/2	183/2	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	664							31
54	46	733/8	733/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	665							
54	46	367/4	367/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	666							32
54	46	735/8	735/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	667							
54	46	92	92	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	668							33
54	46	737/8	737/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	669							
54	46	369/4	369/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	670							34
54	46	739/8	739/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	671							
54	46	181/2	181/2	1.0	0	0	Chord	2/4	2	1	1/4		1/4	1	672							
54	46	183/2	183/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4		1/4	1	673							
55	47	185/2	185/2	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	674							
55	47	741/8	741/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	675							
55	47	371/4	371/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	676							
55	47	743/8	743/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	677							
55	47	93	93	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	678							
55	47	745/8	745/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	679							
55	47	373/4	373/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	680							
55	47	747/8	747/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	681							
55	47	187/2	187/2	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	682							
55	47	749/8	749/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	683							
55	47	375/4	375/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	684							
55	47	751/8	751/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	685							
55	47	94	94	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	686							
55	47	753/8	753/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	687							
55	47	377/4	377/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	688							
55	47	755/8	755/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	689							
55	47	185/2	185/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	690							
55	47	93	93	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	691							
55	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	692							
55	47	94	94	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	693							
56	48	189/2	189/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	694							
56	48	189/2	189/2	0.125	0	0	Chord	2/4	2	1	1/32		1/32	1	695							
56	48	757/8	757/8	0.125	1/32	1/32	Chord	2/4	2	1	1/32		1/32	1	696							
56	48	379/4	379/4	0.125	1/16	1/16	Chord	2/4	2	1	1/32		1/32	1	697							
56	48	759/8	759/8	0.125	3/32	3/32	Chord	2/4	2	1	1/32		1/32	1	698							
56	48	95	95	0.125	1/8	1/8	Chord	2/4	2	1	1/32		1/32	1	699							
56	48	761/8	761/8	0.125	5/32	5/32	Chord	2/4	2	1	1/32		1/32	1	700							
56	48	381/4	381/4	0.125	3/16	3/16	Chord	2/4	2	1	1/32		1/32	1	701							
56	48	763/8	763/8	0.125	7/32	7/32	Chord	2/4	2	1	1/32		1/32	1	702							
56	48	191/2	191/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	703							
57	48	96	96	0.0	0	3/8	StaffText	2/4	1	1	0					"<font size=""12.0915""/><font face=""Times New Roman""/><b>Var. 4</b>"						
57	48	96	96	0.25	0	3/8	Chord	2/4	1	1	1/16		1/16	1	704							
57	48	385/4	385/4	0.25	1/16	7/16	Chord	2/4	1	1	1/16		1/16	1	705							
58	49	193/2	193/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	706							
58	49	293/3	293/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	707							35
58	49	587/6	587/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	708							
58	49	98	98	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	709							36
58	49	589/6	589/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	710							36
58	49	295/3	295/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	711							
58	49	193/2	193/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	712							
58	49	290/3	290/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	713							
58	49	581/6	581/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	714							
58	49	97	97	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	715							
58	49	583/6	583/6	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	716							
58	49	292/3	292/3	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	717							
58	49	195/2	195/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	718							
59	50	197/2	197/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	719							
59	50	299/3	299/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	720							37
59	50	599/6	599/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	721							
59	50	100	100	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	722							38
59	50	601/6	601/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	723							38
59	50	301/3	301/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	724							
59	50	197/2	197/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	725							
59	50	296/3	296/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	726							
59	50	593/6	593/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	727							
59	50	99	99	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	728							
59	50	595/6	595/6	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	729							
59	50	298/3	298/3	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	730							
59	50	199/2	199/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	731							
60	51	201/2	201/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	732							
60	51	302/3	302/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	733							
60	51	605/6	605/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	734							
60	51	101	101	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	735							
60	51	607/6	607/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	736							
60	51	304/3	304/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	737							
60	51	203/2	203/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	738							
60	51	305/3	305/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	739							
60	51	611/6	611/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	740							
60	51	102	102	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	741							
60	51	613/6	613/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	742							
60	51	307/3	307/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	743							
60	51	201/2	201/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	744							
60	51	101	101	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	745							
60	51	203/2	203/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	746							
60	51	102	102	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	747							
61	52	205/2	205/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	748							
61	52	205/2	205/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	749							
61	52	308/3	308/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	750							
61	52	617/6	617/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	751							
61	52	103	103	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	752							
61	52	619/6	619/6	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	753							
61	52	310/3	310/3	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	754							
61	52	207/2	207/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	755							
62	52	104	104	0.16666666666666666	0	3/8	Chord	2/4	1	1	1/24		1/16	2/3	756							
62	52	625/6	625/6	0.16666666666666666	1/24	5/12	Chord	2/4	1	1	1/24		1/16	2/3	757							
62	52	313/3	313/3	0.16666666666666666	1/12	11/24	Chord	2/4	1	1	1/24		1/16	2/3	758							
62	52	104	104	0.5	0	3/8	Chord	2/4	2	1	1/8		1/8	1	759							
63	53	209/2	209/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	760							
63	53	314/3	314/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	761							
63	53	629/6	629/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	762							
63	53	105	105	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	763							
63	53	631/6	631/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	764							
63	53	316/3	316/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	765							
63	53	211/2	211/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	766							
63	53	317/3	317/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	767							
63	53	635/6	635/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	768							
63	53	106	106	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	769							
63	53	637/6	637/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	770							
63	53	319/3	319/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	771							
63	53	209/2	209/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	772							
63	53	105	105	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	773							
63	53	211/2	211/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	774							
63	53	106	106	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	775							
64	54	213/2	213/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	776							
64	54	320/3	320/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	777							
64	54	641/6	641/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	778							
64	54	107	107	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	779							
64	54	643/6	643/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	780							
64	54	322/3	322/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	781							
64	54	215/2	215/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	782							
64	54	108	108	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	783							
64	54	649/6	649/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	784							
64	54	325/3	325/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	785							
64	54	213/2	213/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	786							
64	54	107	107	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	787							
64	54	215/2	215/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	788							
64	54	108	108	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	789							
65	55	217/2	217/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	790							
65	55	326/3	326/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	791							
65	55	653/6	653/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	792							
65	55	109	109	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	793							
65	55	655/6	655/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	794							
65	55	328/3	328/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	795							
65	55	219/2	219/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	796							
65	55	329/3	329/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	797							
65	55	659/6	659/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	798							
65	55	110	110	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	799							
65	55	661/6	661/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	800							
65	55	331/3	331/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	801							
65	55	217/2	217/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	802							
65	55	109	109	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	803							
65	55	219/2	219/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	804							
65	55	110	110	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	805							
66	56	221/2	221/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	806							
66	56	332/3	332/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	807							
66	56	665/6	665/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	808							
66	56	111	111	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	809							
66	56	667/6	667/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	810							
66	56	334/3	334/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	811							
66	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8		1/8	1	812							
66	56	112	112	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	813							
66	56	449/4	449/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	814							
66	56	221/2	221/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	815							
66	56	111	111	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	816							
66	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	817							
67	57	225/2	225/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	818							
67	57	341/3	341/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	819							39
67	57	683/6	683/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	820							
67	57	114	114	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	821							40
67	57	685/6	685/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	822							40
67	57	343/3	343/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	823							
67	57	225/2	225/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	824							
67	57	338/3	338/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	825							
67	57	677/6	677/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	826							
67	57	113	113	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	827							
67	57	679/6	679/6	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	828							
67	57	340/3	340/3	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	829							
67	57	227/2	227/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	830							
68	58	229/2	229/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	831							
68	58	347/3	347/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	832							41
68	58	695/6	695/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	833							
68	58	116	116	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	834							42
68	58	697/6	697/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	835							42
68	58	349/3	349/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	836							
68	58	229/2	229/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	837							
68	58	344/3	344/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	838							
68	58	689/6	689/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	839							
68	58	115	115	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	840							
68	58	691/6	691/6	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	841							
68	58	346/3	346/3	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	842							
68	58	231/2	231/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	843							
69	59	233/2	233/2	0.16666666666666666	0	0	Chord	2/4	1	1	1/24		1/16	2/3	844							
69	59	350/3	350/3	0.16666666666666666	1/24	1/24	Chord	2/4	1	1	1/24		1/16	2/3	845							
69	59	701/6	701/6	0.16666666666666666	1/12	1/12	Chord	2/4	1	1	1/24		1/16	2/3	846							
69	59	117	117	0.16666666666666666	1/8	1/8	Chord	2/4	1	1	1/24		1/16	2/3	847							
69	59	703/6	703/6	0.16666666666666666	1/6	1/6	Chord	2/4	1	1	1/24		1/16	2/3	848							
69	59	352/3	352/3	0.16666666666666666	5/24	5/24	Chord	2/4	1	1	1/24		1/16	2/3	849							
69	59	235/2	235/2	0.16666666666666666	1/4	1/4	Chord	2/4	1	1	1/24		1/16	2/3	850							
69	59	353/3	353/3	0.16666666666666666	7/24	7/24	Chord	2/4	1	1	1/24		1/16	2/3	851							
69	59	707/6	707/6	0.16666666666666666	1/3	1/3	Chord	2/4	1	1	1/24		1/16	2/3	852							
69	59	118	118	0.16666666666666666	3/8	3/8	Chord	2/4	1	1	1/24		1/16	2/3	853							
69	59	709/6	709/6	0.16666666666666666	5/12	5/12	Chord	2/4	1	1	1/24		1/16	2/3	854							
69	59	355/3	355/3	0.16666666666666666	11/24	11/24	Chord	2/4	1	1	1/24		1/16	2/3	855							
69	59	233/2	233/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	856							
69	59	117	117	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	857							
69	59	235/2	235/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	858							
69	59	118	118	0.5	3/8	3/8	Chord	2/4	2	1	1/8		1/8	1	859							
70	60	237/2	237/2	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	860							
70	60	237/2	237/2	0.16666666666666666	0	0	Chord	2/4	2	1	1/24		1/16	2/3	861							
70	60	356/3	356/3	0.16666666666666666	1/24	1/24	Chord	2/4	2	1	1/24		1/16	2/3	862							
70	60	713/6	713/6	0.16666666666666666	1/12	1/12	Chord	2/4	2	1	1/24		1/16	2/3	863							
70	60	119	119	0.16666666666666666	1/8	1/8	Chord	2/4	2	1	1/24		1/16	2/3	864							
70	60	715/6	715/6	0.16666666666666666	1/6	1/6	Chord	2/4	2	1	1/24		1/16	2/3	865							
70	60	358/3	358/3	0.16666666666666666	5/24	5/24	Chord	2/4	2	1	1/24		1/16	2/3	866							
70	60	239/2	239/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	867							
71	60	120	120	0.25	0	3/8	Chord	2/4	1	1	1/16		1/16	1	868							
71	60	481/4	481/4	0.25	1/16	7/16	Chord	2/4	1	1	1/16		1/16	1	869							
72	61	241/2	241/2	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	870							
72	61	965/8	965/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	871							
72	61	483/4	483/4	0.125	1/16	1/16	Chord	2/4	1	1	1/32		1/32	1	872							
72	61	967/8	967/8	0.125	3/32	3/32	Chord	2/4	1	1	1/32		1/32	1	873							
72	61	121	121	0.125	1/8	1/8	Chord	2/4	1	1	1/32		1/32	1	874							
72	61	969/8	969/8	0.125	5/32	5/32	Chord	2/4	1	1	1/32		1/32	1	875							
72	61	485/4	485/4	0.125	3/16	3/16	Chord	2/4	1	1	1/32		1/32	1	876							
72	61	971/8	971/8	0.125	7/32	7/32	Chord	2/4	1	1	1/32		1/32	1	877							
72	61	243/2	243/2	0.125	1/4	1/4	Chord	2/4	1	1	1/32		1/32	1	878							
72	61	973/8	973/8	0.125	9/32	9/32	Chord	2/4	1	1	1/32		1/32	1	879							
72	61	487/4	487/4	0.125	5/16	5/16	Chord	2/4	1	1	1/32		1/32	1	880							
72	61	975/8	975/8	0.125	11/32	11/32	Chord	2/4	1	1	1/32		1/32	1	881							
72	61	122	122	0.125	3/8	3/8	Chord	2/4	1	1	1/32		1/32	1	882							
72	61	977/8	977/8	0.125	13/32	13/32	Chord	2/4	1	1	1/32		1/32	1	883							
72	61	489/4	489/4	0.125	7/16	7/16	Chord	2/4	1	1	1/32		1/32	1	884							
72	61	979/8	979/8	0.125	15/32	15/32	Chord	2/4	1	1	1/32		1/32	1	885							
72	61	241/2	241/2	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	886							
72	61	485/4	485/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	887							
72	61	243/2	243/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8		1/8	1	888							
72	61	489/4	489/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	889							
73	62	245/2	245/2	0.125	0	0	Chord	2/4	1	1	1/32		1/32	1	890							
73	62	981/8	981/8	0.125	1/32	1/32	Chord	2/4	1	1	1/32		1/32	1	891							
