mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
11	10	20	20	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	160						
11	10	81/4	81/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	161						
11	10	41/2	41/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	162						
11	10	83/4	83/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	163						
11	10	19	19	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	164						
11	10	77/4	77/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	165						
11	10	39/2	39/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	166						
11	10	79/4	79/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	167						
11	10	20	20	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	168						
11	10	81/4	81/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	169						
11	10	41/2	41/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	170						
11	10	83/4	83/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	171						
12	11	21	21	0.75	0	0	Chord	2/4	1	1	3/16		1/8	3/2	172						
12	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	173						
12	11	22	22	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	174						
12	11	89/4	89/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	175						
12	11	45/2	45/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	176						
12	11	91/4	91/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	177						
12	11	21	21	0.25	0	0	Chord	2/4	2	1	1/16		1/16	1	178						
12	11	85/4	85/4	0.25	1/16	1/16	Chord	2/4	2	1	1/16		1/16	1	179						
12	11	43/2	43/2	0.25	1/8	1/8	Chord	2/4	2	1	1/16		1/16	1	180						
12	11	87/4	87/4	0.25	3/16	3/16	Chord	2/4	2	1	1/16		1/16	1	181						
12	11	22	22	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	182						
12	11	89/4	89/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	183						
12	11	45/2	45/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	184						
12	11	91/4	91/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	185						
13	12	23	23	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	186						
13	12	23	23	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	187						
13	12	23	23	0.0	0	0	Chord	2/4	1	1	0	grace16	1/16	1	188						
13	12	23	23	1.0	0	0	Chord	2/4	1	1	1/4		1/4	1	189						
13	12	24	24	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	190						
13	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	1	1	1/16		1/16	1	191						
13	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	1	1	1/16		1/16	1	192						
13	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	1	1	1/16		1/16	1	193						
13	12	23	23	0.5	0	0	Chord	2/4	2	1	1/8		1/8	1	194						
13	12	47/2	47/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8		1/8	1	195						
13	12	24	24	0.25	1/4	1/4	Chord	2/4	2	1	1/16		1/16	1	196						
13	12	97/4	97/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16		1/16	1	197						
13	12	49/2	49/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16		1/16	1	198						
13	12	99/4	99/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16		1/16	1	199						
14	13	25	25	0.25	0	0	Chord	2/4	1	1	1/16		1/16	1	200						
14	13	101/4	101/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16		1/16	1	201						
14	13	51/2	51/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16		1/16	1	202						
14	13	103/4	103/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16		1/16	1	203						
14	13	26	26	0.25	1/4	1/4	Chord	2/4	1	1	1/16		1/16	1	204						
