mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
182	182	0	0	4/4	1	1	I[I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
182	182	3/4	3/4	4/4	1	1	V2		C	V	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
183	183	0	0	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
183	183	3/4	3/4	4/4	1	1	V2		C	V	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
184	184	0	0	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
184	184	3/4	3/4	4/4	1	1	V2		C	V	I	V2		V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
185	185	0	0	4/4	1	1	I]		C	V	I	I		I						M	0	0	0, 4, 1		0	0
185	185	1/4	1/4	4/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
185	185	3/4	3/4	4/4	1	1	V+6/IV		C	V		V+6/IV		V	+	6		IV		+	0	0	4, 8, 0		0	4
186	186	0	0	4/4	1	1	IV		C	V		IV		IV						M	0	0	-1, 3, 0		-1	-1
186	186	1/2	1/2	4/4	1	1	viio7/V		C	V		viio7/V		vii	o	7		V		o7	0	0	6, 3, 0, -3		6	6
187	187	0	0	4/4	1	1	V(64)		C	V		V(64)		V			64			M	0	0	1, 0, 4		1	1
187	187	1/2	1/2	4/4	1	1	V2/IV		C	V		V2/IV		V		2		IV		Mm7	0	0	-2, 0, 4, 1		0	-2
188	188	0	0	4/4	1	1	IV6		C	V		IV6		IV		6				M	0	0	3, 0, -1		-1	3
188	188	1/2	1/2	4/4	1	1	.Ger6		C	V		Ger6	Ger	vii	o	65	b3	V		M	0	0	-4, 0, -3, 6		6	-4
189	189	0	0	4/4	1	1	V(64)		C	V		V(64)		V			64			M	0	0	1, 0, 4		1	1
191	191	0	0	4/4	1	1	V(4)		C	V		V(4)		V			4			M	0	0	1, 0, 2		1	1
191	191	1/2	1/2	4/4	1	1	V		C	V		V		V						M	0	0	1, 5, 2		1	1
192	192	0	0	4/4	1	1	I\\		C	V		I		I					\\	M	0	0	0, 4, 1		0	0
192	192	3/8	3/8	4/4	1	1	I[I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
192	192	1/2	1/2	4/4	1	1	vi	IV6	C	V	I	vi		vi						m	0	0	3, 0, 4		3	3
192	192	3/4	3/4	4/4	1	1	V		C	V	I	V		V						M	0	0	1, 5, 2		1	1
193	193	0	0	4/4	1	1	IV		C	V	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
193	193	1/4	1/4	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
193	193	1/2	1/2	4/4	1	1	IV		C	V	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
193	193	3/4	3/4	4/4	1	1	viio6		C	V	I	viio6		vii	o	6				o	0	0	2, -1, 5		5	2
194	194	0	0	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
194	194	1/8	1/8	4/4	1	1	ii6	viio64	C	V	I	ii6		ii		6				m	0	0	-1, 3, 2		2	-1
194	194	1/4	1/4	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
194	194	1/2	1/2	4/4	1	1	vi	IV6	C	V	I	vi		vi						m	0	0	3, 0, 4		3	3
194	194	3/4	3/4	4/4	1	1	V		C	V	I	V		V						M	0	0	1, 5, 2		1	1
195	195	0	0	4/4	1	1	IV		C	V	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
195	195	1/4	1/4	4/4	1	1	I		C	V	I	I		I						M	0	0	0, 4, 1		0	0
195	195	1/2	1/2	4/4	1	1	IV		C	V	I	IV		IV						M	0	0	-1, 3, 0		-1	-1
195	195	3/4	3/4	4/4	1	1	viio6		C	V	I	viio6		vii	o	6				o	0	0	2, -1, 5		5	2
196	196	0	0	4/4	1	1	I]\\		C	V	I	I		I					\\	M	0	0	0, 4, 1		0	0
196	196	3/8	3/8	4/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
196	196	1/2	1/2	4/4	1	1	V		C	V		V		V						M	0	0	1, 5, 2		1	1
196	196	7/8	7/8	4/4	1	1	V6		C	V		V6		V		6				M	0	0	5, 2, 1		1	5
197	197	0	0	4/4	1	1	I		C	V		I		I						M	0	0	0, 4, 1		0	0
197	197	3/8	3/8	4/4	1	1	I6		C	V		I6		I		6				M	0	0	4, 1, 0		0	4
197	197	1/2	1/2	4/4	1	1	V		C	V		V		V						M	0	0	1, 5, 2		1	1
197	197	7/8	7/8	4/4	1	1	V6		C	V		V6		V		6				M	0	0	5, 2, 1		1	5
198	198	0	0	4/4	1	1	V[I\\		C	V	V	I		I					\\	M	0	0	0, 4, 1		0	0
198	198	1/4	1/4	4/4	1	1	I		C	V	V	I		I						M	0	0	0, 4, 1		0	0
198	198	3/8	3/8	4/4	1	1	I6		C	V	V	I6		I		6				M	0	0	4, 1, 0		0	4
198	198	1/2	1/2	4/4	1	1	V		C	V	V	V		V						M	0	0	1, 5, 2		1	1
198	198	7/8	7/8	4/4	1	1	V7		C	V	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
199	199	0	0	4/4	1	1	I		C	V	V	I		I						M	0	0	0, 4, 1		0	0
199	199	3/8	3/8	4/4	1	1	I6		C	V	V	I6		I		6				M	0	0	4, 1, 0		0	4
199	199	1/2	1/2	4/4	1	1	V		C	V	V	V		V						M	0	0	1, 5, 2		1	1
199	199	7/8	7/8	4/4	1	1	V7]		C	V	V	V7		V		7				Mm7	0	0	1, 5, 2, -1		1	1
200	200	0	0	4/4	1	1	I\\		C	V		I		I					\\	M	0	0	0, 4, 1		0	0
