mc	mn	onset	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
34	33	0	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
34	33	1/4	V6		D	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
34	33	3/8	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
34	33	1/2	#viio/ii		D	V		#viio/ii	#vii	o			ii		o	0	0	7, 4, 1		7.0	7.0
34	33	5/8	V64		D	V		V64	V		64				M	0	0	2, 1, 5		1.0	2.0
35	34	0	i6		D	V		i6	i		6				m	0	0	-3, 1, 0		0.0	-3.0
35	34	1/8	I6		D	V		I6	I		6				M	0	0	4, 1, 0		0.0	4.0
35	34	1/4	V2		D	V		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1.0	-1.0
35	34	3/8	V64		D	V		V64	V		64				M	0	0	2, 1, 5		1.0	2.0
35	34	1/2	V6		D	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
35	34	5/8	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
36	35	0	V		D	V		V	V						M	0	0	1, 5, 2		1.0	1.0
36	35	1/4	V6		D	V		V6	V		6				M	0	0	5, 2, 1		1.0	5.0
36	35	3/8	I		D	V		I	I						M	0	0	0, 4, 1		0.0	0.0
