mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
82	82	489/2	489/2	0.5	3/8	3/8	6/8	2	1	#viio6		e	vii		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
82	82	245	245	1.0	1/2	1/2	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
83	83	246	246	0.5	0	0	6/8	2	1	V7		e	vii		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
83	83	493/2	493/2	0.5	1/8	1/8	6/8	2	1	VI		e	vii		VI		VI							M	1	1	-4, 0, -3		-4	-4
83	83	247	247	0.5	1/4	1/4	6/8	2	1	iio		e	vii		iio		ii	o						o	1	1	2, -1, -4		2	2
83	83	495/2	495/2	1.0	3/8	3/8	6/8	2	1	V(64)		e	vii		V(64)		V			64				M	1	1	1, 0, -3		1	1
83	83	497/2	497/2	0.5	5/8	5/8	6/8	2	1	V\\		e	vii		V		V						\\	M	1	1	1, 5, 2		1	1
84	84	249	249	1.5	0	0	6/8	2	1	i6		e	vii		i6		i		6					m	1	1	-3, 1, 0		0	-3
84	84	501/2	501/2	0.5	3/8	3/8	6/8	2	1	#viio6		e	vii		#viio6		#vii	o	6					o	1	1	2, -1, 5		5	2
84	84	251	251	1.0	1/2	1/2	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
85	85	252	252	0.5	0	0	6/8	2	1	V65		e	vii		V65		V		65					Mm7	1	1	5, 2, -1, 1		1	5
85	85	505/2	505/2	0.5	1/8	1/8	6/8	2	1	i		e	vii		i		i							m	1	1	0, -3, 1		0	0
85	85	253	253	0.5	1/4	1/4	6/8	2	1	iv		e	vii		iv		iv							m	1	1	-1, -4, 0		-1	-1
85	85	507/2	507/2	1.0	3/8	3/8	6/8	2	1	bII.V(64)		e	bII		V(64)		V			64				M	1	0	1, 0, 4		1	1
85	85	509/2	509/2	0.5	5/8	5/8	6/8	2	1	V\\		e	bII		V		V						\\	M	1	0	1, 5, 2		1	1
86	86	255	255	2.5	0	0	6/8	2	1	I		e	bII		I		I							M	1	0	0, 4, 1		0	0
86	86	515/2	515/2	0.5	5/8	5/8	6/8	2	1	I6		e	bII		I6		I		6					M	1	0	4, 1, 0		0	4
87	87	258	258	0.5	0	0	6/8	2	1	IV		e	bII		IV		IV							M	1	0	-1, 3, 0		-1	-1
87	87	517/2	517/2	0.5	1/8	1/8	6/8	2	1	I6		e	bII		I6		I		6					M	1	0	4, 1, 0		0	4
87	87	259	259	0.5	1/4	1/4	6/8	2	1	IV		e	bII		IV		IV							M	1	0	-1, 3, 0		-1	-1
87	87	519/2	519/2	0.5	3/8	3/8	6/8	2	1	I6		e	bII		I6		I		6					M	1	0	4, 1, 0		0	4
87	87	260	260	0.5	1/2	1/2	6/8	2	1	viio6(2)		e	bII		viio6(2)		vii	o	6	2				o	1	0	2, -1, 0		5	2
87	87	521/2	521/2	0.5	5/8	5/8	6/8	2	1	I		e	bII		I		I							M	1	0	0, 4, 1		0	0
88	88	261	261	0.5	0	0	6/8	2	1	IV6		e	bII		IV6		IV		6					M	1	0	3, 0, -1		-1	3
88	88	523/2	523/2	0.5	1/8	1/8	6/8	2	1	V(64)		e	bII		V(64)		V			64				M	1	0	1, 0, 4		1	1
88	88	262	262	0.5	1/4	1/4	6/8	2	1	IV6		e	bII		IV6		IV		6					M	1	0	3, 0, -1		-1	3
88	88	525/2	525/2	0.5	3/8	3/8	6/8	2	1	V(64)		e	bII		V(64)		V			64				M	1	0	1, 0, 4		1	1
88	88	263	263	0.5	1/2	1/2	6/8	2	1	viio64(2)		e	bII		viio64(2)		vii	o	64	2				o	1	0	-1, 0, 2		5	-1
88	88	527/2	527/2	0.5	5/8	5/8	6/8	2	1	I6		e	bII		I6		I		6					M	1	0	4, 1, 0		0	4
89	89	264	264	0.5	0	0	6/8	2	1	IV		e	bII		IV		IV							M	1	0	-1, 3, 0		-1	-1
89	89	529/2	529/2	0.5	1/8	1/8	6/8	2	1	I6		e	bII		I6		I		6					M	1	0	4, 1, 0		0	4
89	89	265	265	0.5	1/4	1/4	6/8	2	1	IV		e	bII		IV		IV							M	1	0	-1, 3, 0		-1	-1
89	89	531/2	531/2	0.5	3/8	3/8	6/8	2	1	I6		e	bII		I6		I		6					M	1	0	4, 1, 0		0	4
89	89	266	266	0.5	1/2	1/2	6/8	2	1	viio6(2)		e	bII		viio6(2)		vii	o	6	2				o	1	0	2, -1, 0		5	2
89	89	533/2	533/2	0.5	5/8	5/8	6/8	2	1	I		e	bII		I		I							M	1	0	0, 4, 1		0	0
90	90	267	267	1.5	0	0	6/8	2	1	V7/V		e	bII		V7/V		V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
90	90	537/2	537/2	1.5	3/8	3/8	6/8	2	1	V7		e	bII		V7		V		7					Mm7	1	0	1, 5, 2, -1		1	1
91	91	270	270	1.5	0	0	6/8	2	1	V7/IV		e	bII		V7/IV		V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
91	91	543/2	543/2	1.5	3/8	3/8	6/8	2	1	i.V65/III		e	i		V65/III		V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
